"div","yr","mon","pdsi"
3,2017,4,0.69
3,2017,5,0.86
3,2017,6,0.72
3,2017,7,1.48
3,2017,8,-0.43
3,2017,9,-0.72
3,2017,10,-1.42
3,2017,11,-2.12
3,2017,12,-2.8
3,2018,1,-3.23
3,2018,2,-3.42
3,2018,3,-3.68
3,2018,4,-4.56
3,2018,5,-5.05
3,2018,6,-5.44
3,2018,7,0.86
3,2018,8,-0.04
3,2018,9,-0.84
3,2018,10,1.47
3,2018,11,1.02
3,2018,12,0.35
3,2019,1,0.65
3,2019,2,1.78
3,2019,3,1.53
3,2019,4,1.23
3,2019,5,1.92
3,2019,6,2.35
3,2019,7,-0.76
3,2019,8,-1.96
3,2019,9,-1.32
3,2019,10,-1.8
3,2019,11,1.52
3,2019,12,1.83
3,2020,1,1.24
3,2020,2,1.01
3,2020,3,2.18
3,2020,4,2
3,2020,5,2.24
3,2020,6,-0.06
3,2020,7,-1.09
3,2020,8,-2.36
3,2020,9,-3.1
3,2020,10,-3.61
3,2020,11,-3.83
3,2020,12,-4.09
5,1985,1,3.77
5,1985,2,3.56
5,1985,3,3.31
5,1985,4,3.36
5,1985,5,3.62
5,1985,6,3.34
5,1985,7,2.73
5,1985,8,1.35
5,1985,9,1.92
5,1985,10,2.46
5,1985,11,3.7
5,1985,12,-0.16
5,1986,1,-0.88
5,1986,2,-1.04
5,1986,3,-1.46
5,1986,4,-1.81
5,1986,5,-1.99
5,1986,6,-1.87
5,1986,7,0.51
5,1986,8,-0.47
5,1986,9,0.29
5,1986,10,0.77
5,1986,11,0.71
5,1986,12,0
5,1987,1,-0.26
5,1987,2,-0.57
5,1987,3,-1.05
5,1987,4,-1.62
5,1987,5,-1.66
5,1987,6,-1.53
5,1987,7,-1.6
5,1987,8,-1.98
5,1987,9,-2.03
5,1987,10,1.02
5,1987,11,1.24
5,1987,12,1.42
5,1988,1,1.5
5,1988,2,-0.13
5,1988,3,-0.81
5,1988,4,0.65
5,1988,5,0.22
5,1988,6,0.04
5,1988,7,0
5,1988,8,1.66
5,1988,9,-0.67
5,1988,10,-1.02
5,1988,11,-1.28
5,1988,12,-1.67
5,1989,1,-0.94
5,1989,2,-1.16
5,1989,3,-1.83
5,1989,4,-2.45
5,1989,5,-2.53
5,1989,6,-2.48
5,1989,7,-1.88
5,1989,8,-2.04
5,1989,9,-2.56
5,1989,10,-2.53
5,1989,11,-2.79
5,1989,12,-2.97
5,1990,1,-2.6
5,1990,2,-2.51
5,1990,3,-2.93
5,1990,4,-3.04
5,1990,5,-2.89
5,1990,6,-2.61
5,1990,7,-1.74
5,1990,8,-1.61
5,1990,9,-1.06
5,1990,10,-1.26
5,1990,11,-1.55
5,1990,12,-1.8
5,1991,1,-1.65
5,1991,2,-1.9
5,1991,3,1.08
5,1991,4,1.18
5,1991,5,-0.3
5,1991,6,-0.44
5,1991,7,-0.98
5,1991,8,-1.55
5,1991,9,-1.35
5,1991,10,-1.35
5,1991,11,-1.4
5,1991,12,-1.4
5,1992,1,0.25
5,1992,2,1.5
5,1992,3,3.56
5,1992,4,4.73
5,1992,5,5.42
5,1992,6,4.89
5,1992,7,3.83
5,1992,8,3.61
5,1992,9,2.51
5,1992,10,1.99
5,1992,11,1.42
5,1992,12,3
5,1993,1,5.31
5,1993,2,7.01
5,1993,3,7.35
5,1993,4,9.32
5,1993,5,12.44
5,1993,6,12
5,1993,7,-0.8
5,1993,8,-0.89
5,1993,9,-1.51
5,1993,10,-1.67
5,1993,11,-0.53
5,1993,12,-1.01
5,1994,1,-1.54
5,1994,2,-1.34
5,1994,3,-1.23
5,1994,4,-1.64
5,1994,5,-1.23
5,1994,6,-1.3
5,1994,7,-1.22
5,1994,8,-1.6
5,1994,9,-1.12
5,1994,10,-1.44
5,1994,11,-1.36
5,1994,12,0.76
5,1995,1,1.66
5,1995,2,1.57
5,1995,3,1.35
5,1995,4,1.57
5,1995,5,1.64
5,1995,6,1.72
5,1995,7,-0.53
5,1995,8,-1.4
5,1995,9,-1.93
5,1995,10,-2.33
5,1995,11,-2.69
5,1995,12,-3.1
5,1996,1,-3.49
5,1996,2,-3.71
5,1996,3,-4.03
5,1996,4,-4.27
5,1996,5,-4.21
5,1996,6,-3.99
5,1996,7,-4.29
5,1996,8,-4.25
5,1996,9,-3.67
5,1996,10,-3.83
5,1996,11,-3.9
5,1996,12,-4.11
5,1997,1,-3.68
5,1997,2,-3.82
5,1997,3,-4.42
5,1997,4,-4.25
5,1997,5,-4.3
5,1997,6,-3.93
5,1997,7,-3.41
5,1997,8,-3.64
5,1997,9,2.04
5,1997,10,1.33
5,1997,11,0.74
5,1997,12,1.96
5,1998,1,1.51
5,1998,2,3.37
5,1998,3,3.84
5,1998,4,4.13
5,1998,5,5.02
5,1998,6,5.71
5,1998,7,5.64
5,1998,8,4.57
5,1998,9,5.01
5,1998,10,-0.44
5,1998,11,-0.4
5,1998,12,-0.71
5,1999,1,-1.35
5,1999,2,-1.35
5,1999,3,-1.88
5,1999,4,0.77
5,1999,5,0.34
5,1999,6,0.3
5,1999,7,1.4
5,1999,8,-0.82
5,1999,9,-0.83
5,1999,10,-1.43
5,1999,11,-1.92
5,1999,12,-2.34
5,2000,1,-2.9
5,2000,2,-3.21
5,2000,3,-3.05
5,2000,4,-3.43
5,2000,5,-3.54
5,2000,6,-3.07
5,2000,7,-3.56
5,2000,8,-3.28
5,2000,9,-3.7
5,2000,10,1.24
5,2000,11,0.92
5,2000,12,0.14
5,2001,1,0.58
5,2001,2,1.06
5,2001,3,1.74
5,2001,4,-0.29
5,2001,5,-0.7
5,2001,6,-0.83
5,2001,7,-0.79
5,2001,8,-1.07
5,2001,9,-1.7
5,2001,10,-2.09
5,2001,11,-2.45
5,2001,12,-2.47
5,2002,1,-2.81
5,2002,2,-3.23
5,2002,3,-3.46
5,2002,4,-3.73
5,2002,5,-3.71
5,2002,6,-3.55
5,2002,7,-3.86
5,2002,8,-4.61
5,2002,9,-4.06
5,2002,10,-3.81
5,2002,11,-3.72
5,2002,12,-3.82
5,2003,1,-3.98
5,2003,2,-2.6
5,2003,3,-1.94
5,2003,4,-2.09
5,2003,5,-2.28
5,2003,6,-2.26
5,2003,7,-2.3
5,2003,8,-2.37
5,2003,9,-2.25
5,2003,10,-2.86
5,2003,11,-2.38
5,2003,12,-2.53
5,2004,1,-2.71
5,2004,2,-2.49
5,2004,3,-3.11
5,2004,4,-2.86
5,2004,5,-2.99
5,2004,6,-2.89
5,2004,7,-3.05
5,2004,8,-3.52
5,2004,9,0
5,2004,10,2.08
5,2004,11,3.15
5,2004,12,3.64
5,2005,1,4.5
5,2005,2,6.28
5,2005,3,6.16
5,2005,4,6.83
5,2005,5,8.6
5,2005,6,8.15
5,2005,7,7.2
5,2005,8,7.5
5,2005,9,-0.65
5,2005,10,-0.24
5,2005,11,-0.74
5,2005,12,-1.29
5,2006,1,-1.84
5,2006,2,-2.41
5,2006,3,-2.3
5,2006,4,-2.55
5,2006,5,-2.7
5,2006,6,-2.39
5,2006,7,-2.27
5,2006,8,-2.42
5,2006,9,-1.87
5,2006,10,-1.64
5,2006,11,-2.07
5,2006,12,-2.39
5,2007,1,-2.52
5,2007,2,-2.92
5,2007,3,-3.22
5,2007,4,-3.39
5,2007,5,-3.45
5,2007,6,-3.31
5,2007,7,-2.11
5,2007,8,-2.82
5,2007,9,-2.61
5,2007,10,-2.87
5,2007,11,-2.79
5,2007,12,-2.27
5,2008,1,-1.47
5,2008,2,-1.41
5,2008,3,-1.83
5,2008,4,-2.22
5,2008,5,-1.85
5,2008,6,-1.89
5,2008,7,-1.34
5,2008,8,-1.26
5,2008,9,-1.59
5,2008,10,-2.05
5,2008,11,-1.32
5,2008,12,-0.75
5,2009,1,-1.26
5,2009,2,-1.1
5,2009,3,-1.74
5,2009,4,-1.92
5,2009,5,-2.05
5,2009,6,-2.01
5,2009,7,-2.15
5,2009,8,-2.8
5,2009,9,-2.64
5,2009,10,-2.85
5,2009,11,-3.12
5,2009,12,-2.88
5,2010,1,1.79
5,2010,2,2.3
5,2010,3,2.91
5,2010,4,2.97
5,2010,5,3.25
5,2010,6,3.44
5,2010,7,-0.63
5,2010,8,-1.13
5,2010,9,-1.77
5,2010,10,-1.43
5,2010,11,-1.72
5,2010,12,-1.67
5,2011,1,-2.15
5,2011,2,-1.6
5,2011,3,-1.92
