"plot","yr.m","ppt"
"BZ","1997-01",80.69
"BZ","1997-02",37.33
"BZ","1997-03",0
"BZ","1997-04",25.13
"BZ","1997-05",2.7
"BZ","1997-06",1.43
"BZ","1997-07",5.57
"BZ","1997-08",52.41
"BZ","1997-09",118.55
"BZ","1997-10",0
"BZ","1997-11",8.49
"BZ","1997-12",59.99
"BZ","1998-01",32.06
"BZ","1998-02",102.83
"BZ","1998-03",59.11
"BZ","1998-04",21.17
"BZ","1998-05",12.46
"BZ","1998-06",0
"BZ","1998-07",66.06
"BZ","1998-08",64.42
"BZ","1998-09",44.2
"BZ","1998-10",13.9
"BZ","1998-11",34.62
"BZ","1998-12",9.52
"BZ","1999-01",3.65
"BZ","1999-02",18.7
"BZ","1999-03",11.95
"BZ","1999-04",24.53
"BZ","1999-05",0
"BZ","1999-06",13.1
"BZ","1999-07",72.71
"BZ","1999-08",45.36
"BZ","1999-09",66.31
"BZ","1999-10",0
"BZ","1999-11",0
"BZ","1999-12",0
"BZ","2000-01",3.29
"BZ","2000-02",27.78
"BZ","2000-03",58.99
"BZ","2000-04",0
"BZ","2000-05",0
"BZ","2000-06",37.75
"BZ","2000-07",2.48
"BZ","2000-08",86.77
"BZ","2000-09",0
"BZ","2000-10",95.24
"BZ","2000-11",8.76
"BZ","2000-12",0.12
"BZ","2001-01",46.41
"BZ","2001-02",44.5
"BZ","2001-03",45.35
"BZ","2001-04",31.32
"BZ","2001-05",6.17
"BZ","2001-06",0.57
"BZ","2001-07",19.09
"BZ","2001-08",31.81
"BZ","2001-09",10.57
"BZ","2001-10",13.84
"BZ","2001-11",22.13
"BZ","2001-12",21.89
"BZ","2002-01",0
"BZ","2002-02",0
"BZ","2002-03",5.47
"BZ","2002-04",6.56
"BZ","2002-05",0
"BZ","2002-06",0
"BZ","2002-07",16.83
"BZ","2002-08",0
"BZ","2002-09",27.85
"BZ","2002-10",15.17
"BZ","2002-11",13.98
"BZ","2002-12",9.75
"BZ","2003-01",14.19
"BZ","2003-02",107.92
"BZ","2003-03",39.82
"BZ","2003-04",4.3
"BZ","2003-05",0
"BZ","2003-06",0
"BZ","2003-07",29.76
"BZ","2003-08",60.92
"BZ","2003-09",20.31
"BZ","2003-10",4.32
"BZ","2003-11",36.56
"BZ","2003-12",20.52
"BZ","2004-01",7.95
"BZ","2004-02",34.17
"BZ","2004-03",10.05
